mtitle,budget,rating,genre
"'G' Men",450000,7.2,"Drama"
"'Manos' the Hands of Fate",19000,1.6,"None"
"'Til There Was You",23000000,4.8,"Mixed"
".com for Murder",5000000,3.7,"None"
"10 Things I Hate About You",16000000,6.7,"Mixed"
"100 Mile Rule",1100000,5.6,"Comedy"
"100 Proof",140000,3.3,"Drama"
"101",200000,7.8,"Documentary"
"101-vy kilometer",200000,5.8,"Drama"
"102 Dalmatians",85000000,4.7,"Comedy"
"11:14",6000000,7.1,"Mixed"
"12 Angry Men",340000,8.7,"Drama"
"12 to the Moon",150000,2.8,"None"
"13 Going On 30",37000000,6.4,"Mixed"
"13th Warrior, The",85000000,6.1,"Action"
"1492: Conquest of Paradise",47000000,6,"Drama"
"15 Minutes",42000000,6.1,"Drama"
"1776",4000000,7.3,"Drama"
"1900",9000000,7.5,"Drama"
"1941",35000000,5.6,"Comedy"
"2 Fast 2 Furious",76000000,5.1,"Action"
"20 Dates",60000,5.4,"Mixed"
"20,000 Leagues Under the Sea",200000,6.2,"Action"
"200 Cigarettes",6000000,5.4,"Mixed"
"200 Motels",679000,5.2,"Comedy"
"20000 Leagues Under the Sea",5000000,7.1,"Drama"
"2001: A Space Odyssey",10500000,8.3,"None"
"2001: A Space Travesty",26000000,2.5,"Comedy"
"2046",12000000,7.6,"Mixed"
"21 Grams",20000000,8,"Drama"
"24 Hour Woman, The",2500000,5.6,"Comedy"
"25 Watts",200000,7,"Mixed"
"25th Hour",15000000,7.8,"Drama"
"28 Days",43000000,6,"Drama"
"28 Days Later...",8000000,7.3,"None"
"3 AM",32000,4.8,"Short"
"3 Strikes",6000000,3.7,"Comedy"
"3 Women",1500000,7.7,"Drama"
"3000 Miles to Graceland",62000000,5.4,"Mixed"
"40 Days and 40 Nights",17000000,5.4,"Mixed"
"42nd Street",439000,7.5,"Mixed"
"5 Dark Souls",1500,7.3,"Action"
"5 Dead on the Crimson Canvas",25000,2,"None"
"5,000 Fingers of Dr. T., The",1600000,6.7,"None"
"50 First Dates",75000000,6.8,"Mixed"
"51st State, The",28000000,6.1,"Mixed"
"54",13000000,5.4,"Drama"
"55 Days at Peking",17000000,6.6,"Drama"
"6th Day, The",82000000,5.9,"Action"
"72 metra",1600000,6,"Mixed"
"7th Voyage of Sinbad, The",650000,6.9,"Action"
"8 Mile",41000000,6.8,"Drama"
"80's Ending",10000,8.3,"Mixed"
"8MM",40000000,5.9,"None"
"90",4000,9.1,"Short"
"9:30",12000,7.1,"Short"
"A.N.I. 1240",8000,5.9,"Short"
"ABCD",200000,5.4,"Drama"
